round,global_idx,video_path,true_label,predicted_label,acq_score,strategy
8,75,data\ikeaasm\videos\Kallax_Shelf_Drawer\0036_black_table_10_04_2019_08_28_15_09__scan_video.avi,0,3,0.2271175980567932,random
8,25,data\ikeaasm\videos\Kallax_Shelf_Drawer\0007_black_table_02_01_2019_08_16_13_34__scan_video.avi,0,2,0.4329528510570526,random
9,332,data\ikeaasm\videos\Lack_TV_Bench\0022_white_floor_05_02_2019_08_19_15_49__scan_video.avi,3,3,0.3256132900714874,random
9,97,data\ikeaasm\videos\Lack_Coffee_Table\0002_white_table_10_04_2019_08_28_15_58__scan_video.avi,1,3,0.47772547602653503,random
9,17,data\ikeaasm\videos\Kallax_Shelf_Drawer\0006_black_table_02_01_2019_08_16_13_45__scan_video.avi,0,0,0.5489856004714966,random
9,227,data\ikeaasm\videos\Lack_Side_Table\0014_white_floor_05_02_2019_08_19_12_33__scan_video.avi,2,2,0.5727283954620361,random
9,344,data\ikeaasm\videos\Lack_TV_Bench\0029_black_table_04_02_2019_08_20_11_30__scan_video.avi,3,3,0.2116023153066635,random
9,137,data\ikeaasm\videos\Lack_Coffee_Table\0021_oak_floor_05_02_2019_08_19_13_11__scan_video.avi,1,2,0.8842573761940002,random
9,158,data\ikeaasm\videos\Lack_Coffee_Table\0032_black_floor_06_03_2019_08_21_10_56__scan_video.avi,1,1,0.6212548017501831,random
9,95,data\ikeaasm\videos\Lack_Coffee_Table\0002_white_floor_05_02_2019_08_19_17_47__scan_video.avi,1,2,0.9328407049179077,random
9,169,data\ikeaasm\videos\Lack_Coffee_Table\0039_white_floor_08_04_2019_08_28_10_35__scan_video.avi,1,1,0.47631189227104187,random
9,91,data\ikeaasm\videos\Lack_Coffee_Table\0001_black_floor_05_02_2019_08_19_16_51__scan_video.avi,1,2,0.8809806704521179,random
10,145,data\ikeaasm\videos\Lack_Coffee_Table\0025_oak_table_04_02_2019_08_20_13_42__scan_video.avi,1,1,0.2271175980567932,random
10,144,data\ikeaasm\videos\Lack_Coffee_Table\0025_oak_floor_05_02_2019_08_19_17_17__scan_video.avi,1,1,0.5106955170631409,random
10,252,data\ikeaasm\videos\Lack_Side_Table\0031_black_floor_06_03_2019_08_21_10_22__scan_video.avi,2,2,0.5547840595245361,random
10,292,data\ikeaasm\videos\Lack_TV_Bench\0004_white_floor_01_01_2019_08_14_16_14__scan_video.avi,3,3,0.9504004716873169,random
10,218,data\ikeaasm\videos\Lack_Side_Table\0010_oak_floor_01_01_2019_08_15_11_51__scan_video.avi,2,1,0.8838141560554504,random
10,30,data\ikeaasm\videos\Kallax_Shelf_Drawer\0008_black_floor_08_04_2019_08_28_11_49__scan_video.avi,0,0,0.9614185690879822,random
10,9,data\ikeaasm\videos\Kallax_Shelf_Drawer\0004_oak_floor_01_01_2019_08_14_16_24__scan_video.avi,0,0,0.2899300158023834,random
10,41,data\ikeaasm\videos\Kallax_Shelf_Drawer\0014_black_floor_08_04_2019_08_28_11_12__scan_video.avi,0,3,0.17346744239330292,random
10,350,data\ikeaasm\videos\Lack_TV_Bench\0032_black_floor_06_03_2019_08_21_10_52__scan_video.avi,3,3,0.6576824188232422,random
10,43,data\ikeaasm\videos\Kallax_Shelf_Drawer\0014_white_table_02_01_2019_08_16_13_02__scan_video.avi,0,0,0.43333137035369873,random
11,35,data\ikeaasm\videos\Kallax_Shelf_Drawer\0011_black_table_02_01_2019_08_16_11_15__scan_video.avi,0,0,0.3100045621395111,random
11,271,data\ikeaasm\videos\Lack_Side_Table\0042_black_table_10_04_2019_08_28_15_55__scan_video.avi,2,3,0.09929931163787842,random
11,83,data\ikeaasm\videos\Kallax_Shelf_Drawer\0041_oak_floor_08_04_2019_08_28_12_24__scan_video.avi,0,3,0.8572660088539124,random
11,149,data\ikeaasm\videos\Lack_Coffee_Table\0027_white_table_04_02_2019_08_20_10_47__scan_video.avi,1,2,0.8743933439254761,random
11,287,data\ikeaasm\videos\Lack_TV_Bench\0002_white_table_07_03_2019_08_21_17_59__scan_video.avi,3,2,0.9094686508178711,random
11,358,data\ikeaasm\videos\Lack_TV_Bench\0037_black_table_07_03_2019_08_21_17_21__scan_video.avi,3,3,0.6886679530143738,random
11,90,data\ikeaasm\videos\Lack_Coffee_Table\0001_black_floor_01_01_2019_08_14_15_22__scan_video.avi,1,1,0.5586521029472351,random
11,242,data\ikeaasm\videos\Lack_Side_Table\0025_black_floor_05_02_2019_08_19_17_12__scan_video.avi,2,2,0.6212548017501831,random
11,353,data\ikeaasm\videos\Lack_TV_Bench\0034_white_floor_06_03_2019_08_21_11_25__scan_video.avi,3,1,0.24411937594413757,random
11,12,data\ikeaasm\videos\Kallax_Shelf_Drawer\0004_white_floor_08_04_2019_08_28_10_58__scan_video.avi,0,0,0.7604867219924927,random
12,197,data\ikeaasm\videos\Lack_Side_Table\0004_white_floor_08_04_2019_08_28_10_53__scan_video.avi,2,0,0.45006853342056274,random
12,223,data\ikeaasm\videos\Lack_Side_Table\0013_black_floor_06_03_2019_08_21_14_02__scan_video.avi,2,2,0.5193530917167664,random
12,196,data\ikeaasm\videos\Lack_Side_Table\0004_white_floor_06_03_2019_08_21_11_41__scan_video.avi,2,3,0.9509266018867493,random
12,371,data\ikeaasm\videos\Lack_TV_Bench\0500_white_table_10_04_2019_08_28_16_04__scan_video.avi,3,1,0.9328407049179077,random
12,256,data\ikeaasm\videos\Lack_Side_Table\0033_oak_floor_09_04_2019_08_28_14_04__scan_video.avi,2,3,0.19435183703899384,random
12,268,data\ikeaasm\videos\Lack_Side_Table\0041_oak_floor_08_04_2019_08_28_12_17__scan_video.avi,2,0,0.6322339177131653,random
12,185,data\ikeaasm\videos\Lack_Side_Table\0001_black_table_07_03_2019_08_21_18_06__scan_video.avi,2,2,0.6576824188232422,random
12,44,data\ikeaasm\videos\Kallax_Shelf_Drawer\0016_black_floor_09_04_2019_08_28_14_02__scan_video.avi,0,0,0.37508633732795715,random
12,250,data\ikeaasm\videos\Lack_Side_Table\0030_oak_floor_09_04_2019_08_28_14_11__scan_video.avi,2,1,0.17258144915103912,random
12,79,data\ikeaasm\videos\Kallax_Shelf_Drawer\0039_oak_floor_11_04_2019_08_28_16_28__scan_video.avi,0,2,0.2886897027492523,random
